Compound_Name,Canonical_SMILES,InChIKey,Class,Molecular_Weight,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Fraction_CSP3,Ring_Count,Aromatic_Ring_Count,Heavy_Atom_Count,Molar_Refractivity,QED_Score,Lipinski_Violations,Lipinski_Status,Veber_Status,Ghose_Violations,Ghose_Status,Regulatory_Approval
Metformin,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,Biguanide,129.167,-1.2438,3,1,91.49,0,0.5,0,0,9,37.2235,0.281874,0,Pass,Pass,4,Fail,FDA-approved
Sitagliptin,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,MFFMDFFZMYYVKS-SECBINFHSA-N,DPP-4 Inhibitor,407.318,2.0165,1,4,77.04,4,0.4375,3,2,28,83.0534,0.621638,0,Pass,Pass,0,Pass,FDA-approved
Saxagliptin,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,QGJUIPDUBHWZPV-SGTAVMJGSA-N,DPP-4 Inhibitor,315.417,1.158,2,4,90.35,2,0.888889,6,0,23,82.7992,0.799807,0,Pass,Pass,0,Pass,FDA-approved
Linagliptin,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,LTXREWYXXSTFRX-QGZVFWFLSA-N,DPP-4 Inhibitor,472.553,1.1474,1,7,116.86,4,0.4,5,4,35,135.4834,0.442907,0,Pass,Pass,1,Fail,FDA-approved
Alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,DPP-4 Inhibitor,339.399,0.3945,1,5,97.05,3,0.388889,3,2,25,95.6244,0.87261,0,Pass,Pass,0,Pass,FDA-approved
Empagliflozin,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,OBWASQILIWPZMG-QZMOQZSNSA-N,SGLT2 Inhibitor,450.915,1.6134,4,7,108.61,6,0.478261,4,2,31,113.2722,0.529157,0,Pass,Pass,0,Pass,FDA-approved
Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)Cl,JVHXJTBJCFBINQ-ADAARDCZSA-N,SGLT2 Inhibitor,408.878,1.8444,4,6,99.38,6,0.428571,3,2,28,104.5892,0.581834,0,Pass,Pass,0,Pass,FDA-approved
Canagliflozin,CC1=C(C=C(C=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,SGLT2 Inhibitor,444.524,2.9683,4,6,90.15,5,0.333333,4,3,31,116.4182,0.485916,0,Pass,Pass,0,Pass,FDA-approved
Pioglitazone,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,HYAFETHFCAUJAY-UHFFFAOYSA-N,Thiazolidinedione,356.447,3.1596,1,5,68.29,7,0.315789,3,2,25,97.8777,0.825254,0,Pass,Pass,0,Pass,FDA-approved
Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3,YASAKCUCGLMORW-UHFFFAOYSA-N,Thiazolidinedione,357.435,2.4909,1,6,71.53,7,0.277778,3,2,25,98.0657,0.820855,0,Pass,Pass,0,Pass,FDA-approved
Glibenclamide,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,Sulfonylurea,494.013,3.6417,3,5,113.6,8,0.391304,3,2,33,126.2094,0.51918,0,Pass,Pass,1,Fail,FDA-approved
Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,WIGIZIANZCJQQY-UHFFFAOYSA-N,Sulfonylurea,490.626,3.074,3,5,124.68,7,0.541667,3,1,34,128.5219,0.541762,0,Pass,Pass,1,Fail,FDA-approved
Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,Sulfonylurea,445.545,2.0781,3,6,130.15,7,0.428571,3,2,31,114.9744,0.598162,0,Pass,Pass,0,Pass,FDA-approved
Gliclazide,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,BOVGTQGAOIONJV-UHFFFAOYSA-N,Sulfonylurea,323.418,1.6298,2,4,78.51,3,0.533333,3,1,22,82.4362,0.886038,0,Pass,Pass,0,Pass,EMA/CDSCO/PMDA (non-US)
