Compound_ID,Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,InChIKey,Molecular_Formula,Molecular_Weight,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations,Lipinski_Status,Reported_Activity,Assay_Target,Source_DOI_or_URL,Reference_Year,Compound_Class,Compound_Superclass,Data_Source,Notes,Validation_Status,Fraction_CSP3,Ring_Count,Aromatic_Ring_Count,Heavy_Atom_Count,Molar_Refractivity,QED_Score,Veber_Status,Ghose_Violations,Ghose_Status
AFRO-0001,Luteolin,Vernonia amygdalina,Bitter Leaf,Asteraceae,Leaf; Root,Nigeria,5280445,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.239,2.2824,4,6,111.13,1,0,Pass,"α-Glucosidase inhibition, AGEs inhibition, and potent antioxidant activity",In vitro enzymatic & BSA glycation assays,10.1155/2023/3159352,2023,Flavone,Flavonoid,Journal of Diabetes Research (Hindawi / Wiley),Standardized from v1.0 release,Verified,0.0,3,3,21,74.5792,0.510622,Pass,0,Pass
AFRO-0002,Vernodalol,Vernonia amygdalina,Bitter Leaf,Asteraceae,Leaf; Root,Nigeria,442994,C=C(CO)C(=O)OC1CC2C(=C)C(=O)OC2C(O)C(C(=C)C)C1=O,FFNBPGORUWEHOO-UHFFFAOYSA-N,C17H20O7,336.34,0.0705,2,7,110.13,4,0,Pass,"α-Glucosidase inhibition, AGEs inhibition, and antioxidant activity",In vitro enzymatic & BSA glycation assays,10.1155/2023/3159352,2023,Sesquiterpene lactone,Terpenoid,Journal of Diabetes Research (Hindawi / Wiley),Standardized from v1.0 release,Verified,0.470588,2,0,24,82.5506,0.424537,Pass,0,Pass
AFRO-0003,Catechin,Vernonia amygdalina,Bitter Leaf,Asteraceae,Leaf; Root,Nigeria,9064,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,PFTAWBLQPZVEMU-UHFFFAOYSA-N,C15H14O6,290.271,1.5461,5,6,110.38,1,0,Pass,"α-Glucosidase inhibition, AGEs formation inhibition, and oxygen radical absorbance capacity",In vitro enzymatic & radical absorbance assays  In vitro enzymatic & radical absorbance assays,10.1155/2023/3159352,2023,Flavanol,Flavonoid,Journal of Diabetes Research (Hindawi / Wiley),Standardized from v1.0 release,Verified,0.2,3,2,21,72.623,0.509593,Pass,0,Pass
AFRO-0004,Caffeic Acid,Vernonia amygdalina,Bitter Leaf,Asteraceae,Leaf; Root,Nigeria,689043,O=C(O)C=Cc1ccc(O)c(O)c1,QAIPRVGONGVQAS-UHFFFAOYSA-N,C9H8O4,180.159,1.1956,3,3,77.76,2,0,Pass,"α-Glucosidase inhibition, AGEs formation inhibition, and oxygen radical absorbance capacity",In vitro enzymatic & radical absorbance assays,10.1155/2023/3159352,2023,Phenolic acid,Phenolic Compound,Journal of Diabetes Research (Hindawi / Wiley),Standardized from v1.0 release,Verified,0.0,1,1,13,46.4414,0.471621,Pass,1,Fail
AFRO-0005,Epicatechin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,72276,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,PFTAWBLQPZVEMU-UKRRQHHQSA-N,C15H14O6,290.271,1.5461,5,6,110.38,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,"Peroxisome Proliferator-Activated Receptor Gamma (PPAR-γ, PDB ID: 8DK4)",10.1515/chem-2025-0216,2025,Flavanol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.2,3,2,21,72.623,0.509593,Pass,0,Pass
AFRO-0006,Genistein,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280961,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,C15H10O5,270.24,2.5768,3,5,90.9,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,"Peroxisome Proliferator-Activated Receptor Gamma (PPAR-γ, PDB ID: 8DK4",10.1515/chem-2025-0216,2025,Isoflavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,20,72.9144,0.631833,Pass,0,Pass
AFRO-0007,Glucomoringin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,44198238,C1=CC(=CC=C1CC(=NOS(=O)(=O)O)S[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O[C@H]3[C@@H]([C@@H]([C@H]([C@H](O3)C)O)O)O,DMPSBIMDSBBEQA-MSMHERQISA-N,C20H29NO14S2,571.579,-2.8986,8,15,245.26,8,3,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Glucosinolate,Organosulfur Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.65,3,1,37,124.5562,0.067483,Fail,2,Fail
AFRO-0008,Isoquercetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280804,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,OVSQVDMCBVZWGM-QSOFNFLRSA-N,C21H20O12,464.379,-0.5389,8,12,210.51,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.285714,4,3,33,108.9744,0.228875,Fail,1,Fail
AFRO-0009,Ellagic Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281855,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,C14H6O8,302.194,1.3128,4,8,141.34,0,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Polyphenol,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,4,4,22,73.8772,0.216285,Fail,0,Pass
AFRO-0010,"Quercetin 3-6""-malonyl-glucoside",Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5282159,O=C(O)CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O,NBQPHANHNTWDML-UJKBSQBPSA-N,C24H22O15,550.425,-0.5133,8,14,253.88,7,3,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.291667,4,3,39,125.1004,0.104658,Fail,2,Fail
