Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
Marsectohexol,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,15560121,CC(C1CCC2(C1(C(C(C3C2(CC=C4C3(CCC(C4)O)C)O)O)O)C)O)O,C21H34O6,"α-Amylase inhibitor, blood glucose level reduction","Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_001,Steroidal Pregnane,Frontiers in Molecular Biosciences,"Demonstrated an IC50​ of 10.01 μM against porcine pancreatic α-amylase, outperforming reference acarbose (IC50​=13.47 μM).",382.5,0.48,6.0,6.0,121.38,1.0,27.0,0.0,0.905,0.367,1.0,True,True,True,0.6186674213865196,-0.7870012930859831
Quercetin,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_002,Flavonoid,SN Applied Sciences,"Docking scores: −13.138 kcal/mol ((GSK-3β)), −12.860 kcal/mol (GLP-1R), −11.687 kcal/mol (Aldose Reductase).",302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Chicoric acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281764,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,C22H18O12,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_003,Hydroxycinnamic acid,SN Applied Sciences,Exhibited high stability with GLP-1R (ΔG=−62.038 kcal/mol) and high docking scores across all three targets.,474.37,1.23,6.0,10.0,208.12,9.0,34.0,2.0,0.091,0.172,1.0,True,False,True,1.9176176846235056,0.8508700797321509
Rosmarinic acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281792,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C18H16O8,Aldose Reductase Inhibitors (ARIs) and Glycogen Synthase Kinase-3 Beta (GSK-3β) Inhibitors,"Human Aldose Reductase, GSK-3β, GLP-1R",10.1007/s42452-021-04880-2,2022,AFRO11_004,Hydroxycinnamic acid,SN Applied Sciences,Lowest binding energy against Aldose Reductase with an XP glide score of −15.385 kcal/mol.,360.32,1.76,5.0,7.0,144.52,6.0,26.0,2.0,0.111,0.298,0.0,True,False,True,0.6521017577289976,0.3159111961313288
7-(3-Hydroxy-3-methylbutyl)moracin M,nan,African Mulberry,Moraceae,Root bark,Nigeria,None,,,α-glucosidase inhibition; DPP-4 inhibition,"α-glucosidase, DPP-4",10.3389/fphar.2024.1338333,2024,AFRO11_005,Arylbenzofuran,Frontiers in Pharmacology,New prenylated arylbenzofuran isolated from root bark,,,,,,,,,,,,,,,,
Moracin P,Morus mesozygia,African Mulberry,Moraceae,Root bark,Nigeria,25208124,CC1(C(CC2=C(O1)C=C3C(=C2)C=C(O3)C4=CC(=CC(=C4)O)O)O)C,C19H18O5,α-glucosidase inhibition; DPP-4 inhibition,"α-glucosidase, DPP-4",10.3389/fphar.2024.1338333,2024,AFRO11_006,Arylbenzofuran,Frontiers in Pharmacology,Strong α-glucosidase inhibitor,326.35,3.59,3.0,5.0,83.06,1.0,24.0,3.0,0.263,0.636,0.0,True,True,True,-0.6737777315972254,-0.10870905344844171
Moracin M,Morus mesozygia,African Mulberry,Moraceae,Root bark,Nigeria,185848,C1=CC2=C(C=C1O)OC(=C2)C3=CC(=CC(=C3)O)O,C14H10O4,α-glucosidase inhibition; DPP-4 inhibition,"α-glucosidase, DPP-4",10.3389/fphar.2024.1338333,2024,AFRO11_007,Arylbenzofuran,Frontiers in Pharmacology,Isolated from root bark extract,242.23,3.22,3.0,4.0,73.83,1.0,18.0,3.0,0.0,0.612,0.0,True,True,False,-0.9925285489919,-0.3404793541483508
Marsectohexol,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,15560121,CC(C1CCC2(C1(C(C(C3C2(CC=C4C3(CCC(C4)O)C)O)O)O)C)O)O,C21H34O6,"α-Amylase inhibitor, blood glucose level reduction","Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_008,Steroidal Pregnane,Frontiers in Molecular Biosciences,"Demonstrated an IC50 of 10.01 µM against porcine pancreatic α-amylase, outperforming reference acarbose (IC50 = 13.47 µM).",382.5,0.48,6.0,6.0,121.38,1.0,27.0,0.0,0.905,0.367,1.0,True,True,True,0.6186674213865196,-0.7870012930859831
"3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-oleandropyranosyl]-11,12-di-O-tigloyl-17$\beta$-marsdenin (Iloneoside)",Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_009,Pregnane Glycoside,Frontiers in Molecular Biosciences,Showed an IC50 of 12.10 µM against porcine pancreatic α-amylase.,,,,,,,,,,,,,,,,
3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-oleandropyranosyl]-17$\beta$-marsdenin,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_010,Pregnane Glycoside,Frontiers in Molecular Biosciences,"Evaluated via in vitro DNSA assay (IC50 = 14.03 µM), active-site docking, and 100-ns molecular dynamics simulations.",,,,,,,,,,,,,,,,
